year,region,province,population,acc with victims,total injuried,mortals,hosp injuries,minor injuries,gas_stations,free_motorways_CCAA,free_motorways_State,free_motorways_provincial,multiple_road_CCAA,multiple_road_State,multiple_road_provincial,single_road_CCAA,single_road_State,single_road_provincial,toll_motorways_CCAA,toll_motorways_State,toll_motorways_provincial
2014,C. Valenciana,Valencia,1596634,3914,5226,71,559,4596,567,110.53,292.0,0.0,48.04,49.0,3.5,641.61,385.0,1818.0,0.0,88.0,0.0
2014,Castilla y León,Valladolid,327804,791,1097,13,105,979,125,40.73,265.0,0.0,0.0,14.0,0.0,1046.92,269.0,1430.17,0.0,0.0,0.0
2014,País Vasco,Vizcaya,709424,1860,2607,15,105,2487,107,,0.0,96.83,,0.0,36.83,,0.0,1100.49,,22.0,50.0
2014,Castilla y León,Zamora,106017,126,184,18,38,128,77,0.0,285.0,0.0,0.0,14.0,0.0,1148.48,423.0,1592.06,0.0,0.0,0.0
2014,Aragón,Zaragoza,589017,1518,2042,39,203,1800,234,5.28,308.0,0.0,9.41,52.0,3.15,2043.36,506.0,1016.75,0.0,107.0,0.0
2014,Ceuta,Ceuta,52818,289,401,0,6,395,9,0.0,0.0,,0.0,0.0,,18.0,19.0,,0.0,0.0,
2014,Melilla,Melilla,51385,507,700,0,16,684,13,0.0,0.0,,0.53,1.0,,17.36,9.0,,0.0,0.0,
2015,País Vasco,Álava,199636,912,1150,10,84,1056,58,,0.0,91.97,,0.0,10.61,,0.0,1279.57,,60.89,14.23
2015,Castilla-La Mancha,Albacete,242197,605,837,22,83,732,151,0.0,280.9,0.0,0.0,0.0,0.0,1612.62,420.4,1408.79,0.0,0.0,0.0
2015,C. Valenciana,Alicante,1134954,2708,3829,62,287,3480,363,15.51,234.98,0.0,57.99,72.82,16.08,905.1,205.24,1010.17,0.0,159.46,0.0
2015,Andalucía,Almería,446289,733,1195,26,111,1058,174,110.42,203.5,0.0,2.41,1.12,0.0,703.64,140.06,1174.0,0.0,28.19,0.0
2015,Castilla y León,Ávila,96264,457,660,16,66,578,63,0.0,86.97,0.0,0.0,3.24,0.0,987.57,346.39,1065.0,0.0,37.4,0.0
2015,Extremadura,Badajoz,421368,880,1329,37,105,1187,252,16.88,238.74,0.0,16.6,15.76,0.0,2095.29,572.4,1917.29,0.0,0.0,0.0
2015,Islas Baleares,Baleares,714558,3460,4777,53,389,4335,178,,0.0,93.52,,0.0,97.12,,0.0,1964.73,,0.0,0.0
2015,Cataluña,Barcelona,3401265,19625,26101,128,1145,24828,735,287.88,139.19,0.0,53.13,1.05,0.0,1580.28,49.22,1569.5,159.45,118.93,0.0
