year,region,province,population,acc with victims,total injuried,mortals,hosp injuries,minor injuries,gas_stations,free_motorways_CCAA,free_motorways_State,free_motorways_provincial,multiple_road_CCAA,multiple_road_State,multiple_road_provincial,single_road_CCAA,single_road_State,single_road_provincial,toll_motorways_CCAA,toll_motorways_State,toll_motorways_provincial,acc_victims_rate_per_100k
2015,Andalucía,Cádiz,782125,3080,4705,32,229,4444,226,13809.0,1239,0.0,2376.0,3396,0.0,8734.0,11345,80668.0,0.0,478,0.0,393.79894518139685
2015,C. Valenciana,Castellón,360284,708,956,28,97,831,173,4604.0,7463,0.0,4583.0,366,0.0,87468.0,28118,77488.0,0.0,11988,0.0,196.51164081668907
2015,Castilla-La Mancha,Ciudad Real,313796,640,952,27,61,864,198,8096.0,25682,0.0,382.0,763,0.0,172013.0,4606,17240.0,0.0,0,0.0,203.95416130224731
2015,Andalucía,Córdoba,486202,1491,2069,26,118,1925,225,997.0,17418,0.0,1744.0,501,0.0,161952.0,41753,180661.0,0.0,0,0.0,306.6626628438386
2015,Galicia,"Coruña, A",685245,1443,2052,47,234,1771,245,10204.0,7199,0.0,255.0,5437,0.0,157067.0,28099,21040.0,333.0,14632,0.0,210.5816167939934
2015,Castilla-La Mancha,Cuenca,120909,316,488,16,57,415,143,0.0,34621,0.0,0.0,0,0.0,171881.0,58436,15572.0,0.0,4983,0.0,261.3535799650977
2015,Cataluña,Gerona,464179,2409,3316,41,278,2997,236,900.0,3298,0.0,2183.0,634,259.0,112992.0,27978,77776.0,0.0,9262,0.0,518.9808242079026
2015,Andalucía,Granada,569004,1251,1874,43,172,1659,266,23569.0,18454,0.0,1181.0,272,407.0,138816.0,18316,126063.0,0.0,0,0.0,219.85785688677055
2015,Castilla-La Mancha,Guadalajara,159230,218,314,11,48,255,79,926.0,9967,0.0,0.0,69,0.0,146181.0,29178,15680.0,0.0,2402,0.0,136.9088739559128
2015,País Vasco,Guipúzcoa,429701,1754,2209,38,199,1972,115,,0,4504.0,,0,7838.0,,0,118307.0,,0,1072.0,408.19081175049627
2015,Andalucía,Huelva,328512,721,1157,23,80,1054,131,3329.0,13642,0.0,642.0,1144,0.0,73145.0,29916,84001.0,0.0,0,0.0,219.4744788622638
2015,Aragón,Huesca,133601,482,670,17,111,542,114,0.0,15596,0.0,0.0,57,0.0,204253.0,66866,13860.0,0.0,4971,0.0,360.7757426965367
2015,Andalucía,Jaén,399588,1023,1564,23,92,1449,232,7722.0,20292,0.0,187.0,0,0.0,140245.0,25723,156487.0,0.0,0,0.0,256.0136941049281
2015,Castilla y León,León,286238,810,1234,39,170,1025,151,6789.0,23166,0.0,579.0,216,0.0,17152.0,58861,331032.0,0.0,9368,0.0,282.9812952857412
2015,Cataluña,Lérida,267927,1251,1787,51,209,1527,189,2838.0,12786,0.0,0.0,1065,0.0,152866.0,3185,81546.0,0.0,6047,0.0,466.918227726209
2015,La Rioja,"Rioja, La",192659,707,977,20,71,886,78,0.0,6195,,30.0,138,,14330.0,25463,,0.0,1191,,366.9696198983697
2015,Galicia,Lugo,197617,549,816,22,141,653,112,1616.0,23826,0.0,241.0,111,0.0,145978.0,50628,42080.0,0.0,0,0.0,277.8101074300288
2015,Madrid,Madrid,4056167,15422,20114,111,1314,18689,638,12816.0,49361,,20141.0,705,,224262.0,10416,,0.0,16082,,380.2111698063714
2015,Andalucía,Málaga,1015969,2514,3589,46,237,3306,288,971.0,21874,0.0,1136.0,2968,0.0,117482.0,3137,8596.0,0.0,12209,0.0,247.44849498360676
2015,Murcia,Murcia,908711,1755,2561,44,219,2298,376,16784.0,28908,,7968.0,1248,,264312.0,1420,,0.0,11464,,193.13070932342626
2015,Navarra,Navarra,387768,450,612,26,112,474,231,23554.0,0,,256.0,0,,346038.0,0,,10507.0,3903,,116.04877143033978
2015,Galicia,Orense,179650,403,561,11,83,467,91,4797.0,16836,0.0,307.0,82,0.0,97689.0,34503,184007.0,0.0,0,0.0,224.32507653771225
2015,Asturias,Asturias,646295,2374,3461,36,230,3195,210,7445.0,35784,,702.0,585,,411121.0,47314,,0.0,2186,,367.3245189890066
2015,Castilla y León,Palencia,100811,264,391,6,49,336,61,623.0,19333,0.0,0.0,0,0.0,146775.0,24701,103459.0,0.0,0,0.0,261.8761841465713
2015,Canarias,"Palmas, Las",731131,1472,2138,22,145,1971,209,,0,11082.0,,0,7606.0,,0,175245.0,,0,0.0,201.33190905596948
2015,Galicia,Pontevedra,584347,2068,3220,43,275,2902,171,2734.0,8031,0.0,644.0,749,0.0,124411.0,31618,16860.0,2098.0,12671,0.0,353.8993098278933
2015,Castilla y León,Salamanca,199185,643,857,17,88,752,99,0.0,30043,0.0,0.0,838,0.0,126345.0,26453,21370.0,0.0,0,0.0,322.8154730526897
2015,Canarias,"Tenerife, S.C.",654942,1797,2593,40,202,2351,220,,0,13506.0,,0,130.0,,0,216803.0,,0,0.0,274.3754408787343
2015,Cantabria,Cantabria,363611,703,1065,22,57,986,135,0.0,25491,,0.0,295,,199481.0,32922,,0.0,0,,193.3384853593538
2015,Castilla y León,Segovia,94438,324,480,16,46,418,65,6448.0,4704,0.0,63.0,186,0.0,7033.0,24869,122935.0,0.0,6947,0.0,343.08223384654485
2015,Andalucía,Sevilla,1208730,5371,8006,43,242,7721,394,15677.0,23291,0.0,4145.0,2149,1085.0,170641.0,14428,147747.0,0.0,5095,0.0,444.35068212090374
2015,Castilla y León,Soria,52821,121,172,10,31,131,38,0.0,13174,0.0,0.0,185,0.0,89877.0,40727,189073.0,0.0,0,0.0,229.0755570701047
2015,Cataluña,Tarragona,486379,2001,2762,71,244,2447,217,2306.0,8566,0.0,2255.0,1611,622.0,107657.0,28352,108356.0,1059.0,19113,0.0,411.4075648825299
2015,Aragón,Teruel,81766,148,205,16,45,144,82,0.0,1401,0.0,0.0,273,0.0,162821.0,53089,9630.0,0.0,0,0.0,181.00432942787955
2015,Castilla-La Mancha,Toledo,424448,849,1292,31,128,1133,292,14551.0,37868,0.0,0.0,954,0.0,19234.0,36385,9560.0,0.0,14027,0.0,200.02450241254525
2015,C. Valenciana,Valencia,1583491,4227,5582,64,402,5116,583,8605.0,31645,0.0,4842.0,4654,90.0,6718.0,34147,18180.0,0.0,8778,0.0,266.941839265269
2015,Castilla y León,Valladolid,322517,836,1249,24,104,1121,125,4073.0,26466,0.0,0.0,1429,0.0,104692.0,26892,14330.0,0.0,0,0.0,259.2111423583873
2015,País Vasco,Vizcaya,701535,1884,2690,19,108,2563,112,,0,9674.0,,0,395.0,,0,109843.0,,224,500.0,268.5539566807073
