year,region,province,acc with victims,total injuried,mortals,hosp injuries,minor injuries
2022,Cataluña,Lérida,1341,1799,20,165,1614
2013,Cataluña,Tarragona,1969,2735,42,233,2460
2014,Cataluña,Tarragona,1882,2654,49,224,2381
2015,Cataluña,Tarragona,2001,2762,71,244,2447
2016,Cataluña,Tarragona,2066,2901,59,237,2605
2017,Cataluña,Tarragona,1999,2743,51,216,2476
2018,Cataluña,Tarragona,2064,2809,65,201,2543
2019,Cataluña,Tarragona,2113,2839,52,215,2572
2020,Cataluña,Tarragona,1538,2011,40,182,1789
2021,Cataluña,Tarragona,2045,2661,33,206,2422
2022,Cataluña,Tarragona,2189,2809,52,241,2516
2013,Ceuta,Ceuta,166,258,1,9,248
2014,Ceuta,Ceuta,289,401,0,6,395
2015,Ceuta,Ceuta,319,462,3,15,444
2016,Ceuta,Ceuta,297,435,2,16,417
2017,Ceuta,Ceuta,409,630,2,22,606
2018,Ceuta,Ceuta,406,575,3,16,556
2019,Ceuta,Ceuta,309,460,2,18,440
2020,Ceuta,Ceuta,172,248,2,8,238
2021,Ceuta,Ceuta,244,364,0,8,356
2022,Ceuta,Ceuta,257,366,1,10,355
2013,C. Valenciana,Alicante,2465,3530,42,341,3147
2014,C. Valenciana,Alicante,2602,3650,67,268,3315
2015,C. Valenciana,Alicante,2708,3829,62,287,3480
2016,C. Valenciana,Alicante,3028,4208,68,291,3849
2017,C. Valenciana,Alicante,2954,4163,64,297,3802
2018,C. Valenciana,Alicante,3021,4127,60,349,3718
2019,C. Valenciana,Alicante,2853,3927,80,328,3519
2020,C. Valenciana,Alicante,1882,2517,61,258,2198
2021,C. Valenciana,Alicante,2404,3303,66,309,2928
2022,C. Valenciana,Alicante,3323,4406,65,336,4005
2013,C. Valenciana,Castellón,689,998,22,116,860
2014,C. Valenciana,Castellón,672,910,29,92,789
2015,C. Valenciana,Castellón,708,956,28,97,831
2016,C. Valenciana,Castellón,786,1152,43,141,968
2017,C. Valenciana,Castellón,809,1128,39,118,971
2018,C. Valenciana,Castellón,885,1213,35,129,1049
2019,C. Valenciana,Castellón,878,1188,25,152,1011
2020,C. Valenciana,Castellón,688,855,17,127,711
2021,C. Valenciana,Castellón,811,1100,27,148,925
2022,C. Valenciana,Castellón,990,1327,32,161,1134
2013,C. Valenciana,Valencia,4378,5958,77,493,5388
2014,C. Valenciana,Valencia,3914,5226,71,559,4596
2015,C. Valenciana,Valencia,4227,5582,64,402,5116
2016,C. Valenciana,Valencia,4402,5924,69,433,5422
2017,C. Valenciana,Valencia,4278,5767,73,449,5245
2018,C. Valenciana,Valencia,4280,5803,88,305,5410
2019,C. Valenciana,Valencia,4404,5844,72,423,5349
2020,C. Valenciana,Valencia,3114,3994,51,302,3641
2021,C. Valenciana,Valencia,4312,5619,47,396,5176
2022,C. Valenciana,Valencia,4771,6038,78,550,5410
2013,Extremadura,Badajoz,755,1134,25,144,965
2014,Extremadura,Badajoz,925,1380,40,147,1193
2015,Extremadura,Badajoz,880,1329,37,105,1187
2016,Extremadura,Badajoz,889,1299,38,139,1122
2017,Extremadura,Badajoz,1013,1458,36,139,1283
2018,Extremadura,Badajoz,951,1404,32,117,1255
2019,Extremadura,Badajoz,881,1273,34,100,1139
2020,Extremadura,Badajoz,651,899,25,73,801
2021,Extremadura,Badajoz,777,1105,28,90,987
2022,Extremadura,Badajoz,1027,1406,28,108,1270
2013,Extremadura,Cáceres,506,724,22,65,637
2014,Extremadura,Cáceres,472,725,16,61,648
2015,Extremadura,Cáceres,518,755,17,50,688
2016,Extremadura,Cáceres,419,616,24,55,537
2017,Extremadura,Cáceres,478,741,26,56,659
2018,Extremadura,Cáceres,504,715,19,70,626
2019,Extremadura,Cáceres,531,750,16,69,665
2020,Extremadura,Cáceres,378,489,15,71,403
2021,Extremadura,Cáceres,497,670,12,64,594
2022,Extremadura,Cáceres,451,625,13,54,558
2013,Galicia,"Coruña, A",1256,1831,73,238,1520
2014,Galicia,"Coruña, A",1114,1661,55,226,1380
2015,Galicia,"Coruña, A",1443,2052,47,234,1771
2016,Galicia,"Coruña, A",1978,2794,58,304,2432
2017,Galicia,"Coruña, A",1876,2700,51,312,2337
2018,Galicia,"Coruña, A",1752,2452,64,275,2113
2019,Galicia,"Coruña, A",1816,2579,53,270,2256
2020,Galicia,"Coruña, A",1227,1676,33,196,1447
2021,Galicia,"Coruña, A",1458,2014,42,219,1753
2022,Galicia,"Coruña, A",1654,2334,62,237,2035
2013,Galicia,Lugo,522,741,14,129,598
2014,Galicia,Lugo,546,779,33,100,646
2015,Galicia,Lugo,549,816,22,141,653
2016,Galicia,Lugo,611,924,32,114,778
2017,Galicia,Lugo,547,802,22,107,673
2018,Galicia,Lugo,532,808,26,85,697
2019,Galicia,Lugo,453,655,22,70,563
2020,Galicia,Lugo,381,515,16,64,435
2021,Galicia,Lugo,412,558,12,61,485
2022,Galicia,Lugo,449,612,20,69,523
2013,Galicia,Orense,313,454,14,85,355
2014,Galicia,Orense,373,513,18,88,407
2015,Galicia,Orense,403,561,11,83,467
2016,Galicia,Orense,422,603,15,86,502
2017,Galicia,Orense,446,612,13,91,508
2018,Galicia,Orense,402,588,19,103,466
2019,Galicia,Orense,390,525,15,82,428
2020,Galicia,Orense,352,454,16,68,370
2021,Galicia,Orense,386,508,13,64,431
2022,Galicia,Orense,433,539,14,57,468
2013,Galicia,Pontevedra,1694,2711,31,227,2453
2014,Galicia,Pontevedra,1854,2871,33,283,2555
2015,Galicia,Pontevedra,2068,3220,43,275,2902
2016,Galicia,Pontevedra,1726,2668,36,260,2372
2017,Galicia,Pontevedra,1760,2719,31,181,2507
2018,Galicia,Pontevedra,1694,2563,35,159,2369
2019,Galicia,Pontevedra,1868,2866,37,212,2617
2020,Galicia,Pontevedra,1491,2155,38,133,1984
2021,Galicia,Pontevedra,1664,2401,37,143,2221
2022,Galicia,Pontevedra,1957,2714,27,176,2511
2013,Madrid,Madrid,14114,18730,130,1386,17214
2014,Madrid,Madrid,15078,19942,114,1416,18412
2015,Madrid,Madrid,15422,20114,111,1314,18689
2016,Madrid,Madrid,16158,20780,121,1254,19405
2017,Madrid,Madrid,16248,21065,125,1304,19636
2018,Madrid,Madrid,16614,21399,114,1185,20100
2019,Madrid,Madrid,16628,21291,159,864,20268
2020,Madrid,Madrid,10766,13427,105,638,12684
2021,Madrid,Madrid,13476,17026,127,791,16108
2022,Madrid,Madrid,15086,19092,125,774,18193
2013,Melilla,Melilla,407,560,0,21,539
2014,Melilla,Melilla,507,700,0,16,684
2015,Melilla,Melilla,594,821,2,19,800
2016,Melilla,Melilla,562,809,1,14,794
2017,Melilla,Melilla,466,622,2,14,606
2018,Melilla,Melilla,350,462,3,15,444
2019,Melilla,Melilla,376,476,0,17,459
2020,Melilla,Melilla,242,327,1,16,310
2021,Melilla,Melilla,339,429,1,11,417
2022,Melilla,Melilla,300,386,4,15,367
2013,Murcia,Murcia,863,1365,57,162,1146
2014,Murcia,Murcia,826,1422,61,173,1188
2015,Murcia,Murcia,1755,2561,44,219,2298
2016,Murcia,Murcia,2304,3280,58,241,2981
2017,Murcia,Murcia,2480,3538,85,233,3220
2018,Murcia,Murcia,2518,3522,66,285,3171
2019,Murcia,Murcia,2682,3843,54,259,3530
2020,Murcia,Murcia,2048,2828,39,200,2589
2021,Murcia,Murcia,2523,3584,49,238,3297
2022,Murcia,Murcia,3136,4350,59,288,4003
2013,Navarra,Navarra,396,601,31,102,468
2014,Navarra,Navarra,457,644,41,92,511
2015,Navarra,Navarra,450,612,26,112,474
2016,Navarra,Navarra,731,970,26,136,808
2017,Navarra,Navarra,872,1185,29,124,1032
2018,Navarra,Navarra,825,1102,35,119,948
2019,Navarra,Navarra,789,1014,31,122,861
2020,Navarra,Navarra,576,725,20,97,608
2021,Navarra,Navarra,880,1139,28,114,997
2022,Navarra,Navarra,788,983,37,145,801
2013,País Vasco,Guipúzcoa,1765,2267,24,174,2069
2014,País Vasco,Guipúzcoa,1902,2443,16,202,2225
2015,País Vasco,Guipúzcoa,1754,2209,38,199,1972
2016,País Vasco,Guipúzcoa,1938,2452,17,203,2232
2017,País Vasco,Guipúzcoa,1723,2194,27,186,1981
2018,País Vasco,Guipúzcoa,1784,2219,13,171,2035
2019,País Vasco,Guipúzcoa,1799,2266,23,173,2070
2020,País Vasco,Guipúzcoa,1549,1912,20,176,1716
2021,País Vasco,Guipúzcoa,1720,2138,22,175,1941
2022,País Vasco,Guipúzcoa,1736,2185,23,172,1990
2013,País Vasco,Vizcaya,1880,2716,22,168,2526
2014,País Vasco,Vizcaya,1860,2607,15,105,2487
2015,País Vasco,Vizcaya,1884,2690,19,108,2563
2016,País Vasco,Vizcaya,1923,2689,26,123,2540
2017,País Vasco,Vizcaya,2002,2756,13,148,2595
2018,País Vasco,Vizcaya,1924,2640,21,151,2468
2019,País Vasco,Vizcaya,2024,2709,26,147,2536
2020,País Vasco,Vizcaya,1408,1882,17,129,1736
2021,País Vasco,Vizcaya,1862,2429,22,160,2247
2022,País Vasco,Vizcaya,1883,2456,21,150,2285
2013,País Vasco,Álava,906,1216,17,86,1113
2014,País Vasco,Álava,918,1212,5,80,1127
2015,País Vasco,Álava,912,1150,10,84,1056
2016,País Vasco,Álava,1006,1284,13,63,1208
2017,País Vasco,Álava,998,1314,11,118,1185
2018,País Vasco,Álava,1044,1341,15,106,1220
2019,País Vasco,Álava,1029,1324,16,109,1199
2020,País Vasco,Álava,849,1034,5,101,928
2021,País Vasco,Álava,877,1140,13,106,1021
2022,País Vasco,Álava,839,1139,11,135,993
2013,La Rioja,"Rioja, La",655,931,16,69,846
2014,La Rioja,"Rioja, La",650,953,11,66,876
2015,La Rioja,"Rioja, La",707,977,20,71,886
2016,La Rioja,"Rioja, La",712,983,25,60,898
2017,La Rioja,"Rioja, La",709,943,26,77,840
