year,region,province,owner,free_motorways,multiple_road,single_road,toll_motorways
2014,Castilla-La Mancha,Albacete,State,0,0,"420,00",0
2014,Castilla-La Mancha,Albacete,provincial,0,0,"1.408,79",0
2014,Castilla-La Mancha,Ciudad Real,CCAA,"80,96","3,82",0,0
2014,Castilla-La Mancha,Ciudad Real,CCAA,0,0,"1.720,13",0
2014,Castilla-La Mancha,Ciudad Real,State,"257,00","8,00",0,"0,00"
2014,Castilla-La Mancha,Ciudad Real,State,0,0,"461,00",0
2014,Castilla-La Mancha,Ciudad Real,provincial,0,0,"1.724,00",0
2014,Castilla-La Mancha,Cuenca,CCAA,0,0,"1.718,81",0
2014,Castilla-La Mancha,Cuenca,State,"346,00","0,00",0,"50,00"
2014,Castilla-La Mancha,Cuenca,State,0,0,"584,00",0
2014,Castilla-La Mancha,Cuenca,provincial,0,0,"1.557,20",0
2014,Castilla-La Mancha,Guadalajara,CCAA,"9,26",0,0,0
2014,Castilla-La Mancha,Guadalajara,CCAA,0,0,"1.461,81",0
2014,Castilla-La Mancha,Guadalajara,State,"100,00","1,00",0,"24,00"
2014,Castilla-La Mancha,Guadalajara,State,0,0,"292,00",0
2014,Castilla-La Mancha,Guadalajara,provincial,0,0,"1.568,00",0
2014,Castilla-La Mancha,Toledo,CCAA,"145,51",0,0,0
2014,Castilla-La Mancha,Toledo,CCAA,0,0,"1.923,40",0
2014,Castilla-La Mancha,Toledo,State,"379,00","10,00",0,"140,00"
2014,Castilla-La Mancha,Toledo,State,0,0,"358,00",0
2014,Castilla-La Mancha,Toledo,provincial,0,0,"956,00",0
2014,Castilla y León,Burgos,CCAA,"46,75","5,88",0,0
2014,Castilla y León,Burgos,CCAA,0,0,"1.765,70",0
2014,Castilla y León,Burgos,State,"180,00","15,00",0,"76,00"
2014,Castilla y León,Burgos,State,0,0,"664,00",0
2014,Castilla y León,Burgos,provincial,0,0,"2.289,44",0
2014,Castilla y León,León,CCAA,"67,89","5,79",0,0
2014,Castilla y León,León,CCAA,0,0,"1.714,92",0
2014,Castilla y León,León,State,"232,00","22,00",0,"94,00"
2014,Castilla y León,León,State,0,0,"589,00",0
2014,Castilla y León,León,provincial,0,0,"3.310,32",0
2014,Castilla y León,Palencia,CCAA,"62,30",0,0,0
2014,Castilla y León,Palencia,CCAA,0,0,"1.467,75",0
2014,Castilla y León,Palencia,State,"193,00","0,00",0,"0,00"
2014,Castilla y León,Palencia,State,0,0,"247,00",0
2014,Castilla y León,Palencia,provincial,0,0,"1.034,59",0
2014,Castilla y León,Salamanca,CCAA,0,0,"1.263,45",0
2014,Castilla y León,Salamanca,State,"300,00","8,00",0,"0,00"
2014,Castilla y León,Salamanca,State,0,0,"265,00",0
2014,Castilla y León,Salamanca,provincial,0,0,"2.137,00",0
2014,Castilla y León,Segovia,CCAA,"64,48","6,30",0,0
2014,Castilla y León,Segovia,CCAA,0,0,"701,84",0
2014,Castilla y León,Segovia,State,"47,00","2,00",0,"69,00"
2014,Castilla y León,Segovia,State,0,0,"249,00",0
2014,Castilla y León,Segovia,provincial,0,0,"1.233,42",0
2014,Castilla y León,Soria,CCAA,0,0,"898,77",0
2014,Castilla y León,Soria,State,"119,00","2,00",0,"0,00"
2014,Castilla y León,Soria,State,0,0,"407,00",0
2014,Castilla y León,Soria,provincial,0,0,"1.887,92",0
2014,Castilla y León,Valladolid,CCAA,"40,73",0,0,0
2014,Castilla y León,Valladolid,CCAA,0,0,"1.046,92",0
2014,Castilla y León,Valladolid,State,"265,00","14,00",0,"0,00"
2014,Castilla y León,Valladolid,State,0,0,"269,00",0
2014,Castilla y León,Valladolid,provincial,0,0,"1.430,17",0
2014,Castilla y León,Zamora,CCAA,"0,00",0,0,0
2014,Castilla y León,Zamora,CCAA,0,0,"1.148,48",0
2014,Castilla y León,Zamora,State,"285,00","14,00",0,"0,00"
2014,Castilla y León,Zamora,State,0,0,"423,00",0
2014,Castilla y León,Zamora,provincial,0,0,"1.592,06",0
2014,Castilla y León,Ávila,CCAA,0,0,"987,57",0
2014,Castilla y León,Ávila,State,"87,00","3,00",0,"37,00"
2014,Castilla y León,Ávila,State,0,0,"346,00",0
2014,Castilla y León,Ávila,provincial,0,0,"1.065,00",0
2014,Cataluña,Barcelona,CCAA,"309,75","49,40",0,"157,67"
2014,Cataluña,Barcelona,CCAA,0,0,"1.590,59",0
2014,Cataluña,Barcelona,State,"139,00","1,00",0,"119,00"
2014,Cataluña,Barcelona,State,0,0,"49,00",0
2014,Cataluña,Barcelona,provincial,0,0,"1.575,45",0
2014,Cataluña,Gerona,CCAA,"99,89","11,97",0,0
2014,Cataluña,Gerona,CCAA,0,0,"1.190,96",0
2014,Cataluña,Gerona,State,"27,00","6,00",0,"93,00"
2014,Cataluña,Gerona,State,0,0,"287,00",0
2014,Cataluña,Gerona,provincial,0,"2,59",0,0
2014,Cataluña,Gerona,provincial,0,0,"672,97",0
2014,Cataluña,Lérida,CCAA,"28,38",0,0,0
2014,Cataluña,Lérida,CCAA,0,0,"1.528,66",0
2014,Cataluña,Lérida,State,"128,00","11,00",0,"60,00"
2014,Cataluña,Lérida,State,0,0,"315,00",0
2014,Cataluña,Lérida,provincial,0,0,"820,03",0
2014,Cataluña,Tarragona,CCAA,"14,69","22,55",0,"10,59"
2014,Cataluña,Tarragona,CCAA,0,0,"1.076,32",0
2014,Cataluña,Tarragona,State,"76,00","16,00",0,"191,00"
2014,Cataluña,Tarragona,State,0,0,"285,00",0
2014,Cataluña,Tarragona,provincial,0,"6,22",0,0
2014,Cataluña,Tarragona,provincial,0,0,"1.084,41",0
2014,Ceuta,Ceuta,CCAA,0,0,"18,00",0
2014,Ceuta,Ceuta,State,"0,00","0,00",0,"0,00"
2014,Ceuta,Ceuta,State,0,0,"19,00",0
2014,C. Valenciana,Alicante,CCAA,"15,51","58,32",0,0
2014,C. Valenciana,Alicante,CCAA,0,0,"907,63",0
2014,C. Valenciana,Alicante,State,"236,00","73,00",0,"159,00"
2014,C. Valenciana,Alicante,State,0,0,"201,00",0
2014,C. Valenciana,Alicante,provincial,0,"10,82",0,0
2014,C. Valenciana,Alicante,provincial,0,0,"1.010,17",0
2014,C. Valenciana,Castellón,CCAA,"46,22","45,85",0,0
2014,C. Valenciana,Castellón,CCAA,0,0,"876,96",0
2014,C. Valenciana,Castellón,State,"75,00","4,00",0,"120,00"
2014,C. Valenciana,Castellón,State,0,0,"263,00",0
2014,C. Valenciana,Castellón,provincial,0,0,"750,37",0
2014,C. Valenciana,Valencia,CCAA,"110,53","48,04",0,0
2014,C. Valenciana,Valencia,CCAA,0,0,"641,61",0
2014,C. Valenciana,Valencia,State,"292,00","49,00",0,"88,00"
2014,C. Valenciana,Valencia,State,0,0,"385,00",0
2014,C. Valenciana,Valencia,provincial,0,"3,50",0,0
2014,C. Valenciana,Valencia,provincial,0,0,"1.818,00",0
2014,Extremadura,Badajoz,CCAA,"16,88","16,60",0,0
2014,Extremadura,Badajoz,CCAA,0,0,"2.095,29",0
